Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",Symbol.NS
MUTHOOTFIN,MUTHOOT FINANCE LIMITED (XNSE:MUTHOOTFIN),3933982.78,MUTHOOTFIN.NS
AUBANK,AU SMALL FINANCE BANK LIMITED (XNSE:AUBANK),3861418.89,AUBANK.NS
INDUSTOWER,Indus Towers Limited (XNSE:INDUSTOWER),3853759.84,INDUSTOWER.NS
BALKRISIND,BALKRISHNA INDUSTRIES LIMITED (XNSE:BALKRISIND),3772488.3,BALKRISIND.NS
UBL,UNITED BREWERIES LIMITED (XNSE:UBL),3766319.14,UBL.NS
ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED (XNSE:ABCAPITAL),3712829.85,ABCAPITAL.NS
TATAELXSI,TATA ELXSI LIMITED (XNSE:TATAELXSI),3711115.34,TATAELXSI.NS
DALBHARAT,DALMIA BHARAT LIMITED (XNSE:DALBHARAT),3690082.21,DALBHARAT.NS
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LIMITED (XNSE:HDFCAMC),3644974.01,HDFCAMC.NS
INDIANB,Indian Bank (XNSE:INDIANB),3593720.41,INDIANB.NS
ASTRAL,ASTRAL LIMITED (XNSE:ASTRAL),3591336.72,ASTRAL.NS
BHARATFORG,BHARAT FORGE LTD (XNSE:BHARATFORG),3587127.62,BHARATFORG.NS
LTTS,L&T TECHNOLOGY SERVICES LIMITED (XNSE:LTTS),3567801.91,LTTS.NS
MRF,MRF LIMITED (XNSE:MRF),3564561.94,MRF.NS
TATACOMM,Tata Communications Limited (XNSE:TATACOMM),3549675,TATACOMM.NS
NYKAA,Fsn E-Commerce Ventures Ltd (XNSE:NYKAA),3543169.53,NYKAA.NS
CONCOR,CONTAINER CORPORATION OF INDIA LIMITED (XNSE:CONCOR),3535430.45,CONCOR.NS
PERSISTENT,PERSISTENT SYSTEMS LIMITED (XNSE:PERSISTENT),3522810.38,PERSISTENT.NS
PATANJALI,PATANJALI FOODS LIMITED (XBOM:500368),3508454.12,PATANJALI.NS
IRFC,Indian Railway Finance Corporation Limited,3476222.6,IRFC.NS
LINDEINDIA,LINDE INDIA LIMITED (XNSE:LINDEINDIA),3436826.26,LINDEINDIA.NS
IDFCFIRSTB,IDFC FIRST BANK LIMITED (XNSE:IDFCFIRSTB),3435018.22,IDFCFIRSTB.NS
PETRONET,PETRONET LNG LIMITED (XBOM:532522),3432750.2,PETRONET.NS
SOLARINDS,Solar Industries India Limited (XNSE:SOLARINDS),3431835.34,SOLARINDS.NS
SAIL,STEEL AUTHORITY OF INDIA LIMITED (XNSE:SAIL),3415944.41,SAIL.NS
MPHASIS,MphasiS Limited (XNSE:MPHASIS),3383193.77,MPHASIS.NS
HINDPETRO,Hindustan Petroleum Corporation Limited,3359122.48,HINDPETRO.NS
APLAPOLLO,APL Apollo Tubes Limited (XNSE:APLAPOLLO),3342806.97,APLAPOLLO.NS
FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITED (XNSE:FLUOROCHEM),3317689.7,FLUOROCHEM.NS
NMDC,NMDC LIMITED (XNSE:NMDC),3269090.83,NMDC.NS
HONAUT,HONEYWELL AUTOMATION INDIA LIMITED (XNSE:HONAUT),3217005.83,HONAUT.NS
SUPREMEIND,THE SUPREME INDUSTRIES LIMITED (XNSE:SUPREMEIND),3192883.89,SUPREMEIND.NS
GUJGASLTD,GUJARAT GAS LIMITED (XNSE:GUJGASLTD),3163841.01,GUJGASLTD.NS
BANDHANBNK,BANDHAN BANK LIMITED (XNSE:BANDHANBNK),3153212.41,BANDHANBNK.NS
ACC,ACC Limited (XNSE:ACC),3130789.25,ACC.NS
OBEROIRLTY,OBEROI REALTY LIMITED (XNSE:OBEROIRLTY),3063712.45,OBEROIRLTY.NS
BANKINDIA,BANK OF INDIA LIMITED (XNSE:BANKINDIA),3063312.07,BANKINDIA.NS
RECLTD,REC LIMITED (XNSE:RECLTD),3040057.11,RECLTD.NS
AUROPHARMA,AUROBINDO PHARMA LTD (XNSE:AUROPHARMA),3035747.93,AUROPHARMA.NS
STARHEALTH,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED (XNSE:STARHEALTH),3014833.69,STARHEALTH.NS
IGL,INDRAPRASTHA GAS LIMITED (XNSE:IGL),3000903.43,IGL.NS
LUPIN,LUPIN LIMITED (XNSE:LUPIN),2950098.98,LUPIN.NS
