Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",Symbol.NS
BSHSL,BOMBAY SUPER HYBRID SEEDS LIMITED (XNSE:BSHSL),385854.38,BSHSL.NS
TATACOFFEE,TATA COFFEE LIMITED (XNSE:TATACOFFEE),384466.81,TATACOFFEE.NS
TEAMLEASE,TEAMLEASE SERVICES LIMITED (XBOM:539658),382873.59,TEAMLEASE.NS
JKTYRE,JK Tyre & Industries Limited (XNSE:JKTYRE),381657.86,JKTYRE.NS
VARROC,VARROC ENGINEERING LIMITED (XNSE:VARROC),380972.89,VARROC.NS
GREENLAM,GREENLAM INDUSTRIES LIMITED (XNSE:GREENLAM),380914.15,GREENLAM.NS
JPPOWER,JAIPRAKASH POWER VENTURES LIMITED (XNSE:JPPOWER),380366.96,JPPOWER.NS
INFIBEAM,INFIBEAM AVENUES LIMITED (XNSE:INFIBEAM),378906.04,INFIBEAM.NS
SPANDANA,SPANDANA SPHOORTY FINANCIAL LIMITED (XNSE:SPANDANA),378234.35,SPANDANA.NS
HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED (XNSE:HSCL),377753.38,HSCL.NS
BHARATRAS,BHARAT RASAYAN LIMITED (XNSE:BHARATRAS),377171.6,BHARATRAS.NS
RAJRATAN,RAJRATAN GLOBAL WIRE LIMITED (XNSE:RAJRATAN),377152.37,RAJRATAN.NS
LAOPALA,La Opala RG Limited,376845,LAOPALA.NS
SARDAEN,SARDA ENERGY & MINERALS LIMITED (XNSE:SARDAEN),376184.62,SARDAEN.NS
RALLIS,RALLIS INDIA LIMITED (XNSE:RALLIS),375130.49,RALLIS.NS
BOROLTD,BOROSIL LIMITED (XNSE:BOROLTD),374275.56,BOROLTD.NS
RATEGAIN,RATEGAIN TRAVEL TECHNOLOGIES LIMITED (XNSE:RATEGAIN),372286.19,RATEGAIN.NS
SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED (XNSE:SCHNEIDER),372284.98,SCHNEIDER.NS
RPOWER,RELIANCE POWER LIMITED (XNSE:RPOWER),371652.99,RPOWER.NS
ARVINDFASN,ARVIND FASHIONS LIMITED (XNSE:AFLPP),371444.01,ARVINDFASN.NS
TATVA,TATVA CHINTAN PHARMA CHEM LIMITED (XNSE:TATVA),369945.97,TATVA.NS
POWERMECH,POWER MECH PROJECTS LIMITED (XNSE:POWERMECH),368172.11,POWERMECH.NS
HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED (XBOM:539787),365110.1,HCG.NS
NESCO,NESCO LIMITED (XNSE:NESCO),364771.21,NESCO.NS
HEIDELBERG,HeidelbergCement India Limited. (XNSE:HEIDELBERG),364733.81,HEIDELBERG.NS
TECHNOE,Techno Electric & Engineering Company Limited (XNSE:TECHNOE),363321.81,TECHNOE.NS
POLYPLEX,Polyplex Corporation Limited,358674.57,POLYPLEX.NS
SURYAROSNI,SURYA ROSHNI LIMITED (XNSE:SURYAROSNI),357956.64,SURYAROSNI.NS
AUTOAXLES,AUTOMOTIVE AXLES LIMITED (XNSE:AUTOAXLES),357284.87,AUTOAXLES.NS
JWL,JUPITER WAGONS LIMITED (XNSE:JWL),357226.52,JWL.NS
NFL,NATIONAL FERTILIZERS LIMITED (XNSE:NFL),355424.05,NFL.NS
HEG,HEG LIMITED (XNSE:HEG),355348.82,HEG.NS
RAJRILTD,RAJ RAYON INDUSTRIES LIMITED (XNSE:RAJRILTD),355336.71,RAJRILTD.NS
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED (XNSE:CHENNPETRO),353664.58,CHENNPETRO.NS
WSTCSTPAPR,WEST COAST PAPER MILLS LIMITED (XNSE:WSTCSTPAPR),350455.51,WSTCSTPAPR.NS
LUXIND,LUX INDUSTRIES LIMITED (XNSE:LUXIND),349177.32,LUXIND.NS
HIKAL,HIKAL LIMITED (XNSE:HIKAL),347276.56,HIKAL.NS
MIDHANI,MISHRA DHATU NIGAM LIMITED (XNSE:MIDHANI),345923.31,MIDHANI.NS
HLEGLAS,HLE GLASCOAT LIMITED (XNSE:HLEGLAS),344604.14,HLEGLAS.NS
SHAREINDIA,SHARE INDIA SECURITIES LIMITED. (XNSE:SHAREINDIA),344502.13,SHAREINDIA.NS
NOCIL,NOCIL LIMITED (XNSE:NOCIL),344367.46,NOCIL.NS
NAZARA,NAZARA TECHNOLOGIES LIMITED (XNSE:NAZARA),341756.1,NAZARA.NS
BANARISUG,BANNARI AMMAN SUGARS LIMITED (XNSE:BANARISUG),339963.81,BANARISUG.NS
ANANDRATHI,Anand Rathi Wealth Ltd (XNSE:ANANDRATHI),336715.97,ANANDRATHI.NS
PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED (XNSE:PRUDENT),334814.41,PRUDENT.NS
GRAVITA,GRAVITA INDIA LIMITED (XNSE:GRAVITA),334592.25,GRAVITA.NS
GREENPANEL,GREENPANEL INDUSTRIES LIMITED (XBOM:542857),333607.83,GREENPANEL.NS
VESUVIUS,VESUVIUS INDIA LTD (XNSE:VESUVIUS),332348.31,VESUVIUS.NS
DCBBANK,DCB Bank Limited (XNSE:DCBBANK),331732.31,DCBBANK.NS
ROSSARI,ROSSARI BIOTECH LIMITED (XNSE:ROSSARI),328781.85,ROSSARI.NS
RESPONIND,RESPONSIVE INDUSTRIES LIMITED (XNSE:RESPONIND),328702.99,RESPONIND.NS
TINPLATE,THE TINPLATE COMPANY OF INDIA LTD (XNSE:TINPLATE),326301.36,TINPLATE.NS
KIRLOSBROS,KIRLOSKAR BROTHERS LIMITED (XNSE:KIRLOSBROS),325775.12,KIRLOSBROS.NS
RAILTEL,RAILTEL CORPORATION OF INDIA LIMITED (XNSE:RAILTEL),324468.73,RAILTEL.NS
AMIORG,AMI ORGANICS LIMITED. (XNSE:AMIORG),324180.54,AMIORG.NS
ISGEC,ISGEC HEAVY ENGINEERING LIMITED (XNSE:ISGEC),320809.25,ISGEC.NS
NEOGEN,NEOGEN CHEMICALS LIMITED (XNSE:NEOGEN),320769.48,NEOGEN.NS
MARKSANS,MARKSANS PHARMA LIMITED (XNSE:MARKSANS),319115.06,MARKSANS.NS
NAVA,NAVA LIMITED (XNSE:NAVA),316391.94,NAVA.NS
NEWGEN,NEWGEN SOFTWARE TECHNOLOGIES LIMITED (XNSE:NEWGEN),315290.34,NEWGEN.NS
BECTORFOOD,MRS.BECTORS FOOD SPECIALITIES LIMITED (XNSE:BECTORFOOD),314055.9,BECTORFOOD.NS
TWL,Titagarh Wagons Limited,313754.54,TWL.NS
AARTIDRUGS,AARTI DRUGS LIMITED (XNSE:AARTIDRUGS),312756.5,AARTIDRUGS.NS
UJJIVAN,UJJIVAN FINANCIAL SERVICES LIMITED (XNSE:UJJIVAN),311800.12,UJJIVAN.NS
GATEWAY,GATEWAY DISTRIPARKS LIMITED (XNSE:GATEWAY),311777.75,GATEWAY.NS
SULA,SULA VINEYARDS LIMITED (XNSE:SULA),308714.71,SULA.NS
DAAWAT,LT FOODS LIMITED (XNSE:DAAWAT),308650.21,DAAWAT.NS
SOUTHBANK,THE SOUTH INDIAN BANK LIMITED (XNSE:SOUTHBANK),306586.56,SOUTHBANK.NS
GET&D,GE T&D INDIA LIMITED (XNSE:GET&D),305335.49,GET&D.NS
HARSHA,HARSHA ENGINEERS INTERNATIONAL LIMITED (XNSE:HARSHA),305043.27,HARSHA.NS
PGEL,PG ELECTROPLAST LIMITED (XNSE:PGEL),303011.26,PGEL.NS
RSYSTEMS,R SYSTEMS INTERNATIONAL LIMITED (XNSE:RSYSTEMS),301200.57,RSYSTEMS.NS
INDOCO,INDOCO REMEDIES LIMITED (XNSE:INDOCO),299719.03,INDOCO.NS
MOLDTKPAC,Mold-Tek Packaging Limited (XNSE:MOLDTEKPP),299062.81,MOLDTKPAC.NS
IFBIND,IFB INDUSTRIES LTD (XNSE:IFBIND),298826.12,IFBIND.NS
SBCL,SHIVALIK BIMETAL CONTROLS LTD (XNSE:SBCL),295768.76,SBCL.NS
BCG,BRIGHTCOM GROUP LIMITED (XNSE:BCG),294616.59,BCG.NS
GREAVESCOT,GREAVES COTTON LIMITED (XNSE:GREAVESCOT),291993.04,GREAVESCOT.NS
MOIL,MOIL LIMITED (XNSE:MOIL),289355.97,MOIL.NS
TATASTLLP,TATA STEEL LONG PRODUCTS LIMITED (XNSE:TATASTLLP),284242.75,TATASTLLP.NS
TARSONS,TARSONS PRODUCTS LIMITED (XBOM:543399),283137.22,TARSONS.NS
SHANTIGEAR,SHANTHI GEARS LIMITED (XNSE:SHANTIGEAR),281585.54,SHANTIGEAR.NS
CHOICEIN,CHOICE INTERNATIONAL LIMITED (XNSE:CHOICEIN),280922.38,CHOICEIN.NS
TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED (XNSE:TIIL),278950.05,TIIL.NS
DHANUKA,DHANUKA AGRITECH LIMITED (XNSE:DHANUKA),278665.87,DHANUKA.NS
JCHAC,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LIMITED (XNSE:JCHAC),276408.93,JCHAC.NS
DODLA,DODLA DAIRY LIMITED (XNSE:DODLA),275897.56,DODLA.NS
DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED (XNSE:DALMIASUG),273534.37,DALMIASUG.NS
VOLTAMP,VOLTAMP TRANSFORMERS LIMITED (XNSE:VOLTAMP),272398.4,VOLTAMP.NS
ASTEC,Astec Lifesciences Limited (XNSE:ASTEC),271538.39,ASTEC.NS
SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LIMITED (XNSE:SUDARSCHEM),270886.23,SUDARSCHEM.NS
KSCL,KAVERI SEED COMPANY LTD. (XNSE:KSCL),267278.38,KSCL.NS
SUNFLAG,SUNFLAG IRON AND STEEL CO LTD (XNSE:SUNFLAG),265733.58,SUNFLAG.NS
IBREALEST,INDIABULLS REAL ESTATE LIMITED (XNSE:IBREALEST),264879.24,IBREALEST.NS
THOMASCOOK,Thomas Cook  (India)  Limited,264118.69,THOMASCOOK.NS
HBLPOWER,HBL POWER SYSTEMS LIMITED (XNSE:HBLPOWER),264028.19,HBLPOWER.NS
INOXWIND,INOX WIND ENERGY LIMITED (XNSE:IWEL),263970.8,INOXWIND.NS
ZENTEC,ZEN TECHNOLOGIES LIMITED (XNSE:ZENTEC),260912.07,ZENTEC.NS
TCNSBRANDS,TCNS Clothing Co. Limited,259794.92,TCNSBRANDS.NS
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LIMITED (XNSE:ADVENZYMES),259431.85,ADVENZYMES.NS
STAR,STRIDES PHARMA SCIENCE LIMITED (XNSE:STAR),258581.79,STAR.NS
FCL,FINEOTEX CHEMICAL LIMITED (XNSE:FCL),258154.57,FCL.NS
KKCL,KEWAL KIRAN CLOTHING LIMITED (XNSE:KKCL),257531.65,KKCL.NS
HINDWAREAP,HINDWARE HOME INNOVATION LIMITED (XNSE:HINDWAREAP),256905.24,HINDWAREAP.NS
MAHLOG,MAHINDRA LOGISTICS LIMITED (XNSE:MAHLOG),255014.62,MAHLOG.NS
EMIL,Electronics Mart India Limited (XNSE:EMIL),254896.05,EMIL.NS
JTEKTINDIA,JTEKT INDIA LIMITED (XNSE:JTEKTINDIA),253648.49,JTEKTINDIA.NS
MANINFRA,Man Infraconstruction Limited (XNSE:MANINFRA),253192.78,MANINFRA.NS
ITDC,India Tourism Development Corporation Limited,253191.27,ITDC.NS
APCOTEXIND,APCOTEX INDUSTRIES LIMITED (XNSE:APCOTEXIND),252770.1,APCOTEXIND.NS
PRICOLLTD,PRICOL LIMITED (XNSE:PRICOLLTD),252599.4,PRICOLLTD.NS
PTC,PTC INDIA LIMITED (XNSE:PTC),251755.08,PTC.NS
AARTIPHARM,AARTI PHARMALABS LIMITED (XNSE:AARTIPHARM),249991.84,AARTIPHARM.NS
MBAPL,MADHYA BHARAT AGRO PRODUCTS LIMITED (XNSE:MBAPL),249013.86,MBAPL.NS
SAGCEM,SAGAR CEMENTS LTD (XNSE:SAGCEM),248017.57,SAGCEM.NS
TDPOWERSYS,TD POWER SYSTEMS LIMITED (XNSE:TDPOWERSYS),247795.7,TDPOWERSYS.NS
JAICORPLTD,JAI CORP LIMITED (XNSE:JAICORPLTD),247241.66,JAICORPLTD.NS
DBL,DILIP BUILDCON LIMITED (XNSE:DBL),246957.09,DBL.NS
BARBEQUE,Barbeque-Nation Hospitality Ltd (XNSE:BARBEQUE),246791.75,BARBEQUE.NS
UNIPARTS,UNIPARTS INDIA LIMITED (XNSE:UNIPARTS),243428.92,UNIPARTS.NS
UFLEX,UFLEX LIMITED (XNSE:UFLEX),242305.64,UFLEX.NS
WONDERLA,WONDERLA HOLIDAYS LIMITED (XNSE:WONDERLA),242214.63,WONDERLA.NS
PSPPROJECT,PSP PROJECTS LIMITED (XNSE:PSPPROJECT),241524,PSPPROJECT.NS
KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED (XNSE:KIRLOSIND),240366.56,KIRLOSIND.NS
IPL,INDIA PESTICIDES LIMITED. (XNSE:IPL),239367.35,IPL.NS
DISHTV,DISH TV INDIA LIMITED (XNSE:DISHTV),239363.29,DISHTV.NS
TATAMETALI,TATA METALIKS LTD. (XNSE:TATAMETALI),236799.67,TATAMETALI.NS
PAISALO,PAISALO DIGITAL LIMITED (XNSE:PAISALO),236634.59,PAISALO.NS
PFOCUS,PRIME FOCUS LIMITED (XNSE:PFOCUS),236484.18,PFOCUS.NS
HEMIPROP,HEMISPHERE PROPERTIES INDIA LIMITED (XNSE:HEMIPROP),234697.5,HEMIPROP.NS
LGBBROSLTD,L G BALAKRISHNAN & BROS LIMITED (XNSE:LGBBROSLTD),233025.9,LGBBROSLTD.NS
MAITHANALL,MAITHAN ALLOYS LTD. (XNSE:MAITHANALL),232892.4,MAITHANALL.NS
SSWL,STEEL STRIPS WHEELS LTD (XNSE:SSWL),231561.28,SSWL.NS
NEULANDLAB,NEULAND LABORATORIES LTD. (XNSE:NEULANDLAB),231457.61,NEULANDLAB.NS
HATHWAY,HATHWAY CABLE AND DATACOM LIMITED (XNSE:HATHWAY),229228.53,HATHWAY.NS
THYROCARE,THYROCARE TECHNOLOGIES LIMITED (XBOM:539871),227519.79,THYROCARE.NS
ORIENTCEM,ORIENT CEMENT LIMITED (XNSE:ORIENTCEM),225253.2,ORIENTCEM.NS
DREAMFOLKS,DREAMFOLKS SERVICES LIMITED (XBOM:543591),224910.13,DREAMFOLKS.NS
ETHOSLTD,Ethos Limited (XNSE:ETHOSLTD),224129.29,ETHOSLTD.NS
GLOBUSSPR,Globus Spirits Limited (XNSE:GLOBUSSPR),223682.15,GLOBUSSPR.NS
GANESHHOUC,Ganesh Holdings Ltd (XBOM:504397),223602.48,GANESHHOUC.NS
ARVIND,Arvind Limited,222272.85,ARVIND.NS
ICIL,INDO COUNT INDUSTRIES LIMITED (XNSE:ICIL),221919.89,ICIL.NS
SHRIPISTON,SHRIRAM PISTONS AND RINGS LIMITED (XNSE:SHRIPISTON),221801.88,SHRIPISTON.NS
WOCKPHARMA,WOCKHARDT LIMITED (XNSE:WOCKPHARMA),221751.93,WOCKPHARMA.NS
DBREALTY,D B REALTY LIMITED (XNSE:DBREALTY),221463.83,DBREALTY.NS
ISMTLTD,ISMT LIMITED (XNSE:ISMTLTD),220718.27,ISMTLTD.NS
JINDALPOLY,JINDAL POLY FILMS LIMITED (XNSE:JINDALPOLY),219304.25,JINDALPOLY.NS
WABAG,VA TECH WABAG LIMITED (XNSE:WABAG),218848.12,WABAG.NS
BAJAJCON,BAJAJ CONSUMER CARE LIMITED (XNSE:BAJAJCON),218592.85,BAJAJCON.NS
GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED (XNSE:GENUSPOWER),218183.35,GENUSPOWER.NS
BUTTERFLY,Butterfly Gandhimathi Appliances Limited (XNSE:BUTTERFLY),216583.94,BUTTERFLY.NS
NAVNETEDUL,NAVNEET EDUCATION LIMITED (XNSE:NAVNETEDUL),215694.27,NAVNETEDUL.NS
GOKEX,GOKALDAS EXPORTS LIMITED (XNSE:GOKEX),215657.66,GOKEX.NS
APOLLOPIPE,APOLLO PIPES LIMITED (XNSE:APOLLOPIPE),215479.24,APOLLOPIPE.NS
LANDMARK,LANDMARK CARS LIMITED (XNSE:LANDMARK),215360.49,LANDMARK.NS
IFCI,IFCI LIMITED (XNSE:IFCI),215200.95,IFCI.NS
ATFL,AGRO TECH FOODS LIMITED (XNSE:ATFL),213633.15,ATFL.NS
EVEREADY,EVEREADY INDUSTRIES INDIA LTD (XNSE:EVEREADY),212355.83,EVEREADY.NS
AGI,AGI GREENPAC LIMITED (XNSE:AGI),209490.12,AGI.NS
TI,TILAKNAGAR INDUSTRIES LIMITED (XBOM:507205),208878.18,TI.NS
ASHOKA,ASHOKA BUILDCON LIMITED (XNSE:ASHOKA),207735.18,ASHOKA.NS
SOMANYCERA,SOMANY CERAMICS LIMITED (XNSE:SOMANYCERA),207635.17,SOMANYCERA.NS
HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED (XNSE:HCC),207284.87,HCC.NS
JISLJALEQS,Jain Irrigation Systems Limited,207090.8,JISLJALEQS.NS
VINDHYATEL,VINDHYA TELELINKS LIMITED (XNSE:VINDHYATEL),206957.55,VINDHYATEL.NS
FIEMIND,FIEM INDUSTRIES LIMITED (XNSE:FIEMIND),206056.62,FIEMIND.NS
TASTYBITE,TASTY BITE EATABLES LTD (XNSE:TASTYBITE),205853.5,TASTYBITE.NS
JAYNECOIND,JAYASWAL NECO INDUSTRIES LIMITED (XNSE:JAYNECOIND),205366.13,JAYNECOIND.NS
HONDAPOWER,HONDA INDIA POWER PRODUCTS LIMITED (XNSE:HONDAPOWER),204301.74,HONDAPOWER.NS
UNICHEMLAB,UNICHEM LABORATORIES LIMITED (XNSE:UNICHEMLAB),203965.46,UNICHEMLAB.NS
MUKANDLTD,MUKAND LIMITED (XNSE:MUKANDLTD),203810.99,MUKANDLTD.NS
CIGNITITEC,CIGNITI TECHNOLOGIES LIMITED (XNSE:CIGNITITEC),203336.91,CIGNITITEC.NS
MMFL,MM FORGINGS LIMITED (XNSE:MMFL),202577.52,MMFL.NS
VENKEYS,VENKY'S (INDIA) LIMITED (XNSE:VENKEYS),202547.7,VENKEYS.NS
RAMKY,RAMKY INFRASTRUCTURE LIMITED (XNSE:RAMKY),201815.36,RAMKY.NS
DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS LIMITED (XNSE:DIVGIITTS),201373.28,DIVGIITTS.NS
CAMLINFINE,CAMLIN FINE SCIENCES LIMITED (XNSE:CAMLINFINE),200215.66,CAMLINFINE.NS
SHILPAMED,SHILPA MEDICARE LIMITED (XNSE:SHILPAMED),198646.14,SHILPAMED.NS
GULFOILLUB,Gulf Oil Lubricants India Limited (XNSE:GULFOILLUB),198249.6,GULFOILLUB.NS
MOL,MEGHMANI ORGANICS LIMITED. (XNSE:MOL),197602.14,MOL.NS
DOLLAR,DOLLAR INDUSTRIES LIMITED (XNSE:DOLLAR),197258.67,DOLLAR.NS
VSTTILLERS,V.S.T Tillers Tractors Limited,196493.11,VSTTILLERS.NS
SUBROS,SUBROS LIMITED (XNSE:SUBROS),195739.87,SUBROS.NS
DCAL,DISHMAN CARBOGEN AMCIS LIMITED (XNSE:DCAL),195586.91,DCAL.NS
GABRIEL,GABRIEL INDIA LIMITED (XNSE:GABRIEL),195427.58,GABRIEL.NS
MAXVIL,MAX VENTURES AND INDUSTRIES LIMITED (XNSE:MAXVIL),195206.51,MAXVIL.NS
SIYSIL,SIYARAM SILK MILLS LIMITED (XNSE:SIYSIL),195073.27,SIYSIL.NS
TVSSRICHAK,TVS SRICHAKRA LIMITED (XNSE:TVSSRICHAK),194875.75,TVSSRICHAK.NS
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED (XNSE:ASTRAMICRO),194616.43,ASTRAMICRO.NS
JKIL,J.Kumar Infraprojects Limited,192493.05,JKIL.NS
JAGRAN,JAGRAN PRAKASHAN LIMITED (XBOM:532705),191281.17,JAGRAN.NS
ELECTCAST,ELECTROSTEEL CASTINGS LTD (XNSE:ELECTCAST),190868.28,ELECTCAST.NS
CARERATING,CARE RATINGS LIMITED (XNSE:CARERATING),190787.42,CARERATING.NS
INDIAGLYCO,INDIA GLYCOLS LIMITED (XNSE:INDIAGLYCO),190289.38,INDIAGLYCO.NS
BALMLAWRIE,Balmer Lawrie & Company Limited,189643.27,BALMLAWRIE.NS
KOLTEPATIL,KOLTE-PATIL DEVELOPERS LIMITED (XNSE:KOLTEPATIL),189440.99,KOLTEPATIL.NS
IMAGICAA,IMAGICAAWORLD ENTERTAINMENT LIMITED (XNSE:IMAGICAA),188482.84,IMAGICAA.NS
WELENT,WELSPUN ENTERPRISES LIMITED. (XNSE:WELENT),188303.73,WELENT.NS
TIPSINDLTD,TIPS INDUSTRIES LIMITED (XNSE:TIPSINDLTD),187547.77,TIPSINDLTD.NS
SWARAJENG,SWARAJ ENGINES LTD (XNSE:SWARAJENG),186980.3,SWARAJENG.NS
MAYURUNIQ,MAYUR UNIQUOTERS LIMITED (XNSE:MAYURUNIQ),184622.9,MAYURUNIQ.NS
GANECOS,GANESHA ECOSPHERE LIMITED (XNSE:GANECOS),184316.51,GANECOS.NS
PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED (XNSE:PARAS),183436.79,PARAS.NS
LUMAXTECH,Lumax Auto Technologies Limited,183276.07,LUMAXTECH.NS
ACCELYA,ACCELYA SOLUTIONS INDIA LIMITED (XNSE:ACCELYA),182055.61,ACCELYA.NS
KESORAMIND,KESORAM INDUSTRIES LTD (XNSE:KESORAMIND),182023.09,KESORAMIND.NS
CARTRADE,CARTRADE TECH LIMITED (XNSE:CARTRADE),181964.49,CARTRADE.NS
MPSLTD,MPS LIMITED (XNSE:MPSLTD),181646.66,MPSLTD.NS
SEQUENT,SEQUENT SCIENTIFIC LIMITED (XNSE:SEQUENT),181088.72,SEQUENT.NS
HIL,HIL LIMITED (XNSE:HIL),180964.93,HIL.NS
GUFICBIO,GUFIC BIOSCIENCES LIMITED (XNSE:GUFICBIO),180704.56,GUFICBIO.NS
ITDCEM,ITD CEMENTATION INDIA LIMITED (XNSE:ITDCEM),179260.34,ITDCEM.NS
PILANIINVS,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED (XNSE:PILANIINVS),179226.51,PILANIINVS.NS
MSTCLTD,MSTC LIMITED (XNSE:MSTCLTD),178041.6,MSTCLTD.NS
LSIL,LLOYDS STEELS INDUSTRIES LIMITED (XNSE:LSIL),177404.08,LSIL.NS
PANAMAPET,PANAMA PETROCHEM LIMITED (XNSE:PANAMAPET),176762.29,PANAMAPET.NS
OPTIEMUS,Optiemus Infracom Limited (XNSE:OPTIEMUS),176694.1,OPTIEMUS.NS
SIRCA,SIRCA PAINTS INDIA LIMITED (XNSE:SIRCA),176635.06,SIRCA.NS
TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED (XNSE:TIRUMALCHM),175902.79,TIRUMALCHM.NS
DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED (XNSE:DYNAMATECH),175176.02,DYNAMATECH.NS
SUNDARMHLD,SUNDARAM FINANCE HOLDINGS LIMITED (XNSE:SUNDARMHLD),175128.89,SUNDARMHLD.NS
TIMETECHNO,TIME TECHNOPLAST LIMITED (XNSE:TIMETECHNO),174133,TIMETECHNO.NS
DBCORP,D.B.Corp Limited,173579.32,DBCORP.NS
ASHIANA,ASHIANA HOUSING LIMITED (XNSE:ASHIANA),173077.4,ASHIANA.NS
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED (XNSE:CONFIPET),172963.26,CONFIPET.NS
DIAMONDYD,PRATAAP SNACKS LIMITED (XNSE:DIAMONDYD),172743.34,DIAMONDYD.NS
NUCLEUS,NUCLEUS SOFTWARE EXPORTS LIMITED (XNSE:NUCLEUS),171161.86,NUCLEUS.NS
GREENPLY,GREENPLY INDUSTRIES LTD (XNSE:GREENPLY),170736.75,GREENPLY.NS
JPASSOCIAT,JAIPRAKASH ASSOCIATES LIMITED (XNSE:JPASSOCIAT),170594.4,JPASSOCIAT.NS
WENDT,WENDT INDIA LIMITED (XNSE:WENDT),170174,WENDT.NS
FINOPB,Fino Payments Bank Limited (XNSE:FINOPB),169965.21,FINOPB.NS
FMGOETZE,Federal-Mogul Goetze (India) Limited (XNSE:FMGOETZE),169956.16,FMGOETZE.NS
SANGHIIND,SANGHI INDUSTRIES LIMITED (XNSE:SANGHIIND),169849.35,SANGHIIND.NS
VAKRANGEE,Vakrangee Limited (XNSE:VAKRANGEE),169519.97,VAKRANGEE.NS
GNA,G N A AXLES LIMITED (XNSE:GNA),169093.69,GNA.NS
AMRUTANJAN,AMRUTANJAN HEALTH CARE LIMITED (XNSE:AMRUTANJAN),168368.43,AMRUTANJAN.NS
EMUDHRA,EMUDHRA LIMITED (XNSE:EMUDHRA),167738.49,EMUDHRA.NS
DATAMATICS,Datamatics Global Services Limited (XNSE:DATAMATICS),167534.02,DATAMATICS.NS
SHARDAMOTR,SHARDA MOTOR INDUSTRIES LIMITED (XNSE:SHARDAMOTR),166853.91,SHARDAMOTR.NS
IOLCP,IOL CHEMICALS AND PHARMACEUTICALS LIMITED (XNSE:IOLCP),166048.51,IOLCP.NS
LUMAXIND,LUMAX INDUSTRIES LIMITED (XNSE:LUMAXIND),165384.75,LUMAXIND.NS
BAJAJHIND,Bajaj Hindusthan Sugar Limited (XNSE:BAJAJHIND),164779.43,BAJAJHIND.NS
STYLAMIND,STYLAM INDUSTRIES LIMITED (XNSE:STYLAMIND),164608.03,STYLAMIND.NS
ANDHRAPAP,ANDHRA PAPER LIMITED (XNSE:ANDHRAPAP),164588.31,ANDHRAPAP.NS
SOTL,SAVITA OIL TECHNOLOGIES LIMITED (XNSE:SOTL),163802.53,SOTL.NS
ADFFOODS,ADF FOODS LIMITED (XNSE:ADFFOODS),163433.08,ADFFOODS.NS
VIDHIING,VIDHI SPECIALTY FOOD INGREDIENTS LIMITED (XNSE:VIDHIING),162820.7,VIDHIING.NS
KABRAEXTRU,KABRA EXTRUSION TECHNIK LTD (XNSE:KABRAEXTRU),162664.93,KABRAEXTRU.NS
BEPL,BHANSALI ENGG POLYMERS LTD (XNSE:BEPL),162587.53,BEPL.NS
RUPA,RUPA & COMPANY LTD (XNSE:RUPA),162428.91,RUPA.NS
NACLIND,NACL INDUSTRIES LIMITED (XNSE:NACLIND),162117.45,NACLIND.NS
VSSL,VARDHMAN SPECIAL STEELS LIMITED (XNSE:VSSL),161372.09,VSSL.NS
VISHNU,VISHNU CHEMICALS LIMITED (XNSE:VISHNU),161331,VISHNU.NS
DWARKESH,DWARIKESH SUGAR INDUSTRIES LIMITED (XNSE:DWARKESH),160715.3,DWARKESH.NS
DHANI,Dhani Services Limited,160158.45,DHANI.NS
BANCOINDIA,BANCO PRODUCTS (INDIA) LIMITED (XNSE:BANCOINDIA),160094.5,BANCOINDIA.NS
KINGFA,Kingfa Science & Technology (India) Limited (XNSE:KINGFA),159621.93,KINGFA.NS
SUBEXLTD,SUBEX LIMITED (XNSE:SUBEXLTD),159608.83,SUBEXLTD.NS
HINDOILEXP,HINDUSTAN OIL EXPLORATION COMPANY LIMITED (XNSE:HINDOILEXP),159017.75,HINDOILEXP.NS
RTNPOWER,RattanIndia Power Limited (XNSE:RTNPOWER),158418.12,RTNPOWER.NS
VADILALIND,VADILAL INDUSTRIES LIMITED (XNSE:VADILALIND),157855.53,VADILALIND.NS
BBOX,BLACK BOX LIMITED (XNSE:BBOX),156738.95,BBOX.NS
PURVA,PURAVANKARA LIMITED (XNSE:PURVA),154977.32,PURVA.NS
